Title,Year,Genres,Runtime,Rating,Director,Writers,Cast,Row Number
Eddie the Eagle,2016,Action|Biography|Comedy|Drama|Sport,106,7.4,Dexter Fletcher,Sean Macaulay,Hugh Jackman|Taron Egerton,718
The Brothers Grimsby,2016,Action|Adventure|Comedy,83,6.2,Louis Leterrier,Sacha Baron Cohen,Mark Strong|Sacha Baron Cohen,728
Collapse,2009,Action|Documentary,82,7.8,Chris Smith,Michael Ruppert,Michael Ruppert,747
Killshot,2008,Action|Crime|Drama|Thriller,95,6.0,John Madden,Hossein Amini,Diane Lane|Mickey Rourke|Thomas Jane,761
Concussion,2015,Action|Biography|Drama|Sport,123,7.1,Peter Landesman,Peter Landesman,Albert Brooks|Alec Baldwin|Will Smith,821
Michael Jackson's Journey from Motown to Off the Wall,2016,Action|Documentary|Music,93,7.4,Spike Lee,Michael Jackson,Berry Gordy,826
Below,2002,Action|Horror|Mystery|Thriller,105,6.2,David Twohy,Lucas Sussman,Bruce Greenwood|David Crow,827
The Lady in the Van,2015,Action|Biography|Comedy|Drama,104,6.7,Nicholas Hytner,Alan Bennett,Alex Jennings|Jim Broadbent|Maggie Smith,838
The Peanuts Movie,2015,Action|Adventure|Animation|Comedy|Family,88,7.1,Steve Martino,Craig Schulz,Bill Melendez|Noah Schnapp,842
Secret in Their Eyes,2015,Action|Crime|Drama|Mystery|Thriller,111,6.3,Billy Ray,Billy Ray,Chiwetel Ejiofor|Nicole Kidman,869
Truth,2015,Action|Biography|Drama|History,125,6.8,James Vanderbilt,James Vanderbilt,Cate Blanchett|Dennis Quaid|Robert Redford,917
King Solomon's Mines,2004,Action|Adventure|Fantasy|Romance,0,6.0,Patrick Swayze,,Roy Marsden,922
Before We Go,2014,Action|Comedy|Drama|Romance,95,6.8,Chris Evans,Ronald Bass,Alice Eve|Chris Evans,929
Straight Outta Compton,2015,Action|Biography|Crime|Drama|History,147,7.9,F. Gary Gray,Jonathan Herman,Corey Hawkins|O'Shea Jackson Jr.,933
The Diary of a Teenage Girl,2015,Action|Drama|Romance,102,6.9,Marielle Heller,Phoebe Gloeckner,Alexander Skarsgård|Bel Powley|Kristen Wiig,942
Daft Punk Unchained,2015,Action|Documentary|Music,85,7.3,Hervé Martin-Delpierre,Marina Rozenman,Guy-Manuel De Homem-Christo|Skrillex|Thomas Bangalter,966
Steve Jobs: The Man in the Machine,2015,Action|Documentary,128,6.9,Alex Gibney,Alex Gibney,Bob Belleville|Chrisann Brennan|Nolan Bushnell,993
The Search for Freedom,2015,Action|Documentary,92,6.9,Jon Long,Jon Long,Annie Boulanger|Bruce Brown|Yvon Chouinard,1028
